iter	CrossEntropy
0	0.6384117299
1	0.5914836321
2	0.5495878183
3	0.5139619806
4	0.482235733
5	0.4551385089
6	0.4312580427
7	0.4113653969
8	0.3936849687
9	0.3777468982
10	0.3636044647
11	0.3519804597
12	0.3411802157
13	0.332529655
14	0.3243661574
15	0.3171049969
16	0.3106535879
17	0.3047682538
18	0.2998534709
19	0.2951372698
20	0.2908628734
21	0.2871126505
22	0.2840125045
23	0.2813618939
24	0.2788673829
25	0.2764258429
26	0.2744070714
27	0.2726366949
28	0.2708293894
29	0.2692532937
30	0.2678579595
31	0.2666699355
32	0.2655831532
33	0.2645538603
34	0.2635799518
35	0.2628038446
36	0.261973079
37	0.2613282466
38	0.2607015248
39	0.2601028944
40	0.2595918774
41	0.2590467623
42	0.2586591987
43	0.258201715
44	0.2578475961
45	0.2574882873
46	0.25717636
47	0.2569080397
48	0.2565966568
49	0.256286018
50	0.2560727918
51	0.2558449936
52	0.2555941851
53	0.2554366154
54	0.2552301217
55	0.2550114151
56	0.2548277139
57	0.2547209194
58	0.2545294694
59	0.2543645321
60	0.2541967821
61	0.2540505543
62	0.2539217838
63	0.2538005261
64	0.2536821538
65	0.2535623842
66	0.253449837
67	0.253361153
68	0.2532659906
69	0.2531656926
70	0.2530613842
71	0.2529699782
72	0.2528864842
73	0.2528043332
74	0.2527117295
75	0.252641138
76	0.2525670986
77	0.2524834232
78	0.2524208889
79	0.2523512229
80	0.2522913744
81	0.2522108021
82	0.252140628
83	0.2520638484
84	0.2520140896
85	0.2519484522
86	0.2518888759
87	0.2518072873
88	0.2517634807
89	0.2517172605
90	0.2516590271
91	0.2516007392
92	0.2515505267
93	0.2515038347
94	0.2514570156
95	0.2514031011
96	0.2513415287
97	0.2512790126
98	0.2512190007
99	0.251160604
100	0.2511102644
101	0.2510693068
102	0.2510183866
103	0.2509902044
104	0.250937161
105	0.2508871663
106	0.2508547014
107	0.2508100237
108	0.2507720241
109	0.250734587
110	0.2506987469
111	0.2506684052
112	0.2506306778
113	0.2505976867
114	0.2505565477
115	0.250513848
116	0.2504786067
117	0.2504434017
118	0.250404168
119	0.2503658962
120	0.250337587
121	0.2503088423
122	0.2502738551
123	0.2502479413
124	0.2502092339
125	0.2501765513
126	0.2501280265
127	0.2500861071
128	0.2500605381
129	0.2500418649
130	0.2500065147
131	0.2499790403
132	0.24994614
133	0.2499169053
134	0.2498798311
135	0.2498531733
136	0.2498231583
137	0.2497886973
138	0.2497667759
139	0.2497268345
140	0.2496970554
141	0.2496744081
142	0.2496412718
143	0.2496138518
144	0.2495802256
145	0.2495575057
146	0.2495297953
147	0.2495115577
148	0.2494801635
149	0.2494543223
150	0.2494308947
151	0.2494009886
152	0.249366582
153	0.2493368574
154	0.2493122864
155	0.2492867537
156	0.2492679172
157	0.2492502603
158	0.2492270867
159	0.2491994489
160	0.2491828445
161	0.2491511237
162	0.2491092951
163	0.2490789897
164	0.2490560702
165	0.2490156389
166	0.2489891625
167	0.248952905
168	0.2489252309
169	0.2489102779
170	0.2488930565
171	0.248876071
172	0.2488608638
173	0.2488329357
174	0.2488156417
175	0.2488004528
176	0.248789855
177	0.2487741216
178	0.2487521457
179	0.2487321115
180	0.2487162148
181	0.2486879238
182	0.2486651312
183	0.2486382194
184	0.2486056638
185	0.2485786794
186	0.2485594436
187	0.2485416052
188	0.2485265251
189	0.2485122072
190	0.2484941873
191	0.2484731732
192	0.2484503625
193	0.2484304009
194	0.2484094775
195	0.2483976458
196	0.2483811684
197	0.2483585754
198	0.2483406463
199	0.2483269817
200	0.2482999791
201	0.2482840824
202	0.2482700548
203	0.2482528334
204	0.2482386788
205	0.2482244335
206	0.2482151967
207	0.2482019313
208	0.2481916238
209	0.2481828045
210	0.2481672888
211	0.2481460751
212	0.2481248251
213	0.248105426
214	0.2480846841
215	0.2480673175
216	0.2480502594
217	0.2480378651
218	0.2480231116
219	0.2480030048
220	0.247978815
221	0.2479613758
222	0.2479513587
223	0.2479466405
224	0.2479283666
225	0.2479087679
226	0.2478900766
227	0.2478748332
228	0.2478589002
229	0.2478505889
230	0.2478384668
231	0.2478282864
232	0.2478167812
233	0.2478040965
234	0.2477879276
235	0.247776604
236	0.2477619412
237	0.2477444295
238	0.2477285691
239	0.247703236
240	0.2476880652
241	0.2476688476
242	0.2476446215
243	0.2476334974
244	0.247611703
245	0.2475923765
246	0.2475697291
247	0.2475598572
248	0.2475440513
249	0.2475371373
250	0.2475219846
251	0.2475105884
252	0.2474918245
253	0.2474758552
254	0.2474619365
255	0.2474482356
256	0.2474345891
257	0.2474198356
258	0.2474035942
259	0.2473865542
260	0.2473702946
261	0.2473559404
262	0.2473438364
263	0.2473260161
264	0.247301046
265	0.2472875447
266	0.2472804674
267	0.2472680549
268	0.2472522489
269	0.2472349368
270	0.2472251556
271	0.2472054117
272	0.2471911664
273	0.2471788084
274	0.2471741265
275	0.2471669403
276	0.2471505718
277	0.2471377782
278	0.2471249665
279	0.2471106848
280	0.247093282
281	0.2470791637
282	0.2470584036
283	0.2470455374
284	0.2470311106
285	0.2470128911
286	0.2469920948
287	0.2469702822
288	0.2469613539
289	0.246952099
290	0.2469440417
291	0.2469344783
292	0.2469246245
293	0.2469135186
294	0.2469056429
295	0.2468937022
296	0.2468862801
297	0.2468755009
298	0.2468698935
299	0.2468640502
300	0.2468551582
301	0.2468451955
302	0.2468245625
303	0.2468155072
304	0.2467927509
305	0.2467784875
306	0.2467628811
307	0.2467558764
308	0.246738165
309	0.2467245548
310	0.2467101643
311	0.2466996391
312	0.2466808208
313	0.246658736
314	0.2466395184
315	0.2466189579
316	0.2466016095
317	0.2465918283
318	0.2465735362
319	0.2465563511
320	0.2465415977
321	0.246523977
322	0.2465055216
323	0.2464927825
324	0.2464768676
325	0.2464670138
326	0.2464531315
327	0.2464346761
328	0.246422445
329	0.2464133897
330	0.2464023201
331	0.2463800357
332	0.2463569891
333	0.2463450303
334	0.2463323456
335	0.2463226733
336	0.2463016955
337	0.246293112
338	0.2462834215
339	0.2462699021
340	0.2462609557
341	0.2462466922
342	0.2462375824
343	0.246230614
344	0.2462175664
345	0.2462066057
346	0.2461912897
347	0.2461753385
348	0.2461602221
349	0.2461433274
350	0.2461335462
351	0.2461209704
352	0.2461142379
353	0.2461028416
354	0.2460875982
355	0.2460748046
356	0.2460675459
357	0.2460587265
358	0.2460489453
359	0.24602285
360	0.246012597
361	0.2460064271
362	0.2459954482
363	0.2459874272
364	0.2459769565
365	0.2459658324
366	0.2459507705
367	0.245932678
368	0.2459234412
369	0.2459109561
370	0.2458984529
371	0.2458895791
372	0.2458744446
373	0.2458512891
374	0.245831763
375	0.2458251757
376	0.2458047604
377	0.2457940174
378	0.2457872668
379	0.2457700817
380	0.2457546568
381	0.2457347859
382	0.2457252588
383	0.2457143343
384	0.245699345
385	0.245684156
386	0.2456756633
387	0.2456664446
388	0.2456587504
389	0.2456491143
390	0.2456423093
391	0.2456333265
392	0.2456219666
393	0.2456146171
394	0.2456002084
395	0.245592623
396	0.24557669
397	0.2455583435
398	0.2455481631
399	0.245538146
400	0.2455240458
401	0.2455135388
402	0.2455015799
403	0.2454901292
404	0.2454746499
405	0.2454643606
406	0.2454490265
407	0.2454284842
408	0.2454155273
409	0.245406472
410	0.2453913556
411	0.2453726824
412	0.2453506702
413	0.2453444821
414	0.2453298194
415	0.2453135598
416	0.2453036153
417	0.2452908761
418	0.2452791351
419	0.2452695172
420	0.2452612241
421	0.2452457266
422	0.2452297573
423	0.2452213735
424	0.2452107394
