iter	Passed	Remaining
0	9	14796
1	16	12007
2	22	11295
3	29	10997
4	35	10670
5	41	10452
6	48	10322
7	54	10255
8	61	10152
9	67	10095
10	74	10069
11	81	10070
12	87	10054
13	93	9919
14	99	9873
15	106	9858
16	112	9809
17	118	9772
18	124	9740
19	131	9730
20	137	9714
21	144	9695
22	151	9710
23	157	9679
24	164	9684
25	170	9666
26	176	9636
27	183	9628
28	189	9613
29	195	9590
30	201	9566
31	208	9544
32	214	9527
33	220	9499
34	226	9486
35	232	9473
36	238	9449
37	244	9425
38	251	9408
39	257	9386
40	262	9353
41	268	9320
42	274	9285
43	280	9265
44	285	9237
45	291	9215
46	297	9189
47	303	9167
48	308	9146
49	314	9121
50	320	9102
51	326	9082
52	331	9060
53	337	9040
54	343	9022
55	349	9003
56	354	8984
57	360	8965
58	366	8946
59	372	8935
60	378	8919
61	384	8912
62	390	8896
63	395	8878
64	401	8863
65	407	8848
66	413	8833
67	418	8817
68	424	8802
69	430	8785
70	435	8771
71	441	8756
72	446	8736
73	452	8722
74	458	8705
75	463	8692
76	469	8680
77	475	8668
78	481	8656
79	486	8643
80	492	8627
81	498	8615
82	503	8600
83	509	8589
84	514	8571
85	520	8560
86	527	8561
87	532	8551
88	538	8542
89	544	8533
90	550	8530
91	556	8522
92	562	8516
93	568	8505
94	574	8493
95	579	8482
96	585	8471
97	591	8461
98	597	8451
99	603	8448
100	609	8447
101	615	8438
102	621	8429
103	627	8420
104	633	8410
105	638	8402
106	644	8395
107	650	8387
108	656	8379
109	663	8380
110	669	8371
111	674	8362
112	680	8353
113	686	8344
114	692	8336
115	697	8323
116	703	8314
117	709	8306
118	715	8298
119	720	8287
120	726	8278
121	731	8265
122	737	8259
123	743	8251
124	749	8243
125	755	8242
126	761	8233
127	767	8227
128	773	8219
129	779	8211
130	784	8202
131	790	8193
132	796	8187
133	802	8182
134	809	8181
135	815	8180
136	821	8177
137	828	8174
138	834	8173
139	840	8164
140	846	8158
141	852	8155
142	859	8152
143	864	8143
144	870	8134
145	876	8126
146	882	8118
147	887	8109
148	893	8103
149	899	8099
150	905	8089
151	910	8078
152	916	8071
153	922	8063
154	928	8058
155	934	8051
156	940	8045
157	946	8039
158	952	8032
159	958	8027
160	964	8024
161	970	8018
162	976	8010
163	983	8009
164	989	8005
165	995	8000
166	1002	7998
167	1009	8003
168	1016	8008
169	1023	8007
170	1029	8002
171	1036	7999
172	1042	7993
173	1048	7988
174	1054	7982
175	1061	7982
176	1067	7980
177	1073	7975
178	1079	7968
179	1085	7960
180	1092	7959
181	1099	7959
182	1105	7952
183	1111	7946
184	1117	7943
185	1124	7941
186	1130	7937
187	1137	7937
188	1144	7936
189	1150	7935
190	1157	7932
191	1163	7926
192	1170	7924
193	1176	7921
194	1183	7920
195	1189	7916
196	1196	7912
197	1202	7905
198	1208	7898
199	1213	7888
200	1219	7884
201	1225	7877
202	1232	7874
203	1238	7869
204	1244	7860
205	1250	7854
206	1255	7844
207	1261	7838
208	1267	7831
209	1273	7823
210	1279	7815
211	1284	7806
212	1290	7798
213	1296	7790
214	1302	7784
215	1308	7779
216	1314	7773
217	1321	7772
218	1328	7771
219	1335	7770
220	1341	7766
221	1347	7759
222	1353	7751
223	1360	7748
224	1366	7744
225	1373	7741
226	1379	7737
227	1386	7734
228	1393	7731
229	1399	7727
230	1405	7720
231	1411	7713
232	1417	7706
233	1423	7699
234	1434	7720
235	1439	7712
236	1445	7704
237	1451	7697
238	1458	7694
239	1465	7692
240	1472	7691
241	1479	7690
242	1486	7689
243	1493	7690
244	1500	7688
245	1508	7687
246	1514	7684
247	1521	7679
248	1527	7673
249	1533	7667
250	1539	7660
251	1545	7654
252	1551	7647
253	1558	7643
254	1564	7640
255	1571	7634
256	1578	7636
257	1585	7633
258	1591	7626
259	1597	7619
260	1603	7613
261	1610	7609
262	1616	7601
263	1622	7596
264	1628	7588
265	1634	7580
266	1641	7581
267	1648	7578
268	1654	7573
269	1661	7569
270	1668	7565
271	1673	7556
272	1680	7551
273	1686	7547
274	1692	7538
275	1698	7533
276	1709	7549
277	1720	7563
278	1727	7560
279	1734	7557
280	1741	7552
281	1747	7546
282	1753	7541
283	1759	7534
284	1766	7530
285	1772	7523
286	1778	7516
287	1784	7511
288	1791	7506
289	1797	7499
290	1804	7495
291	1817	7517
292	1823	7512
293	1829	7503
294	1835	7497
295	1841	7490
296	1847	7484
297	1853	7476
298	1859	7470
299	1866	7465
300	1872	7458
301	1878	7452
302	1884	7445
303	1891	7440
304	1896	7431
305	1903	7425
306	1909	7418
307	1915	7411
308	1921	7406
309	1927	7401
310	1934	7394
311	1946	7411
312	1953	7410
313	1960	7405
314	1966	7399
315	1973	7393
316	1979	7387
317	1985	7381
318	1992	7375
319	1998	7369
320	2004	7364
321	2010	7356
322	2017	7350
323	2023	7345
324	2029	7338
325	2036	7333
326	2042	7327
327	2049	7322
328	2055	7314
329	2060	7306
330	2067	7300
331	2072	7292
332	2078	7284
333	2084	7277
334	2090	7269
335	2096	7262
336	2102	7255
337	2108	7250
338	2115	7245
339	2121	7239
340	2128	7233
341	2134	7226
342	2140	7218
343	2145	7211
344	2151	7203
345	2157	7195
346	2163	7187
347	2168	7179
348	2175	7173
349	2181	7166
350	2187	7159
351	2192	7152
352	2199	7145
353	2204	7137
354	2210	7129
355	2216	7122
356	2222	7115
357	2228	7107
358	2234	7101
359	2240	7093
360	2245	7085
361	2251	7078
362	2257	7072
363	2263	7064
364	2269	7057
365	2275	7049
366	2281	7042
367	2286	7034
368	2292	7027
369	2298	7020
370	2304	7012
371	2310	7005
372	2316	6997
373	2321	6990
374	2327	6983
375	2333	6975
376	2339	6968
377	2344	6960
378	2350	6952
379	2356	6945
380	2362	6938
381	2368	6931
382	2374	6924
383	2379	6916
384	2385	6908
385	2391	6901
386	2397	6893
387	2402	6886
388	2408	6879
389	2415	6874
390	2421	6867
391	2427	6860
392	2433	6854
393	2439	6847
394	2445	6840
395	2451	6833
396	2457	6827
397	2463	6820
398	2469	6814
399	2475	6808
400	2481	6802
401	2487	6795
402	2493	6788
403	2506	6799
404	2519	6812
405	2525	6806
406	2532	6800
407	2538	6793
408	2544	6787
409	2551	6782
410	2557	6776
411	2563	6769
412	2569	6762
413	2575	6755
414	2581	6748
415	2587	6741
416	2593	6734
417	2600	6731
418	2608	6729
419	2615	6724
420	2621	6718
421	2627	6712
422	2633	6705
423	2640	6699
424	2646	6693
425	2652	6686
426	2659	6682
427	2665	6675
428	2671	6668
429	2677	6662
430	2683	6654
431	2688	6647
432	2694	6640
433	2700	6633
434	2706	6626
435	2713	6620
436	2719	6614
437	2725	6608
438	2731	6602
439	2738	6596
440	2744	6590
441	2751	6585
442	2757	6580
443	2763	6573
444	2770	6567
445	2776	6561
446	2782	6555
447	2788	6548
448	2799	6552
449	2810	6557
450	2821	6563
451	2832	6568
452	2844	6573
453	2855	6578
454	2867	6584
455	2878	6590
456	2889	6595
457	2898	6593
458	2904	6587
459	2910	6580
460	2916	6573
461	2922	6566
462	2928	6558
463	2934	6551
464	2940	6545
465	2946	6537
466	2952	6530
467	2958	6524
468	2964	6517
469	2970	6510
470	2976	6503
471	2982	6495
472	2987	6487
473	2993	6480
474	3001	6477
475	3008	6472
476	3015	6467
477	3022	6462
478	3030	6460
479	3037	6454
480	3044	6448
481	3050	6442
482	3056	6436
483	3062	6429
484	3068	6421
485	3074	6413
486	3079	6406
487	3085	6398
488	3092	6393
489	3098	6387
490	3104	6380
491	3110	6372
492	3116	6365
493	3122	6358
494	3127	6350
495	3133	6343
496	3139	6335
497	3145	6328
498	3150	6320
499	3156	6313
500	3162	6305
501	3168	6298
502	3173	6290
503	3179	6283
504	3185	6275
505	3190	6268
506	3196	6260
507	3203	6255
508	3209	6249
509	3216	6243
510	3222	6236
511	3228	6229
512	3234	6222
513	3239	6215
514	3245	6207
515	3251	6201
516	3258	6194
517	3264	6189
518	3271	6183
519	3276	6175
520	3282	6167
521	3288	6160
522	3294	6153
523	3299	6146
524	3305	6139
525	3311	6132
526	3317	6125
527	3323	6118
528	3329	6111
529	3335	6104
530	3341	6096
531	3346	6089
532	3352	6082
533	3358	6075
534	3364	6068
535	3370	6061
536	3376	6054
537	3381	6046
538	3387	6039
539	3393	6032
540	3399	6026
541	3405	6018
542	3410	6011
543	3416	6004
544	3422	5996
545	3428	5989
546	3433	5982
547	3439	5975
548	3445	5968
549	3451	5961
550	3457	5954
551	3463	5947
552	3468	5940
553	3474	5933
554	3480	5926
555	3486	5919
556	3492	5912
557	3498	5905
558	3503	5898
559	3509	5891
560	3515	5884
561	3521	5877
562	3527	5871
563	3533	5864
564	3539	5857
565	3545	5850
566	3551	5843
567	3556	5835
568	3562	5828
569	3568	5821
570	3574	5814
571	3579	5807
572	3585	5800
573	3591	5794
574	3598	5788
575	3604	5782
576	3611	5776
577	3617	5769
578	3623	5763
579	3628	5756
580	3634	5749
581	3640	5742
582	3646	5735
583	3652	5728
584	3658	5721
585	3663	5714
586	3669	5707
587	3675	5700
588	3680	5693
589	3686	5686
590	3692	5679
591	3698	5672
592	3704	5666
593	3710	5659
594	3716	5652
595	3721	5645
596	3727	5638
597	3733	5631
598	3739	5624
599	3745	5618
600	3751	5611
601	3756	5604
602	3762	5597
603	3768	5590
604	3774	5583
605	3780	5576
606	3785	5569
607	3791	5562
608	3797	5555
609	3803	5549
610	3809	5542
611	3814	5535
612	3820	5528
